InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,1
500,0,0
600,0,1
700,0,0
800,0,1
900,0,1
1000,1,0
1100,0,1
1200,1,1
1300,3,1
1400,3,2
1500,1,2
1600,2,3
1700,1,3
1800,2,3
1900,2,3
2000,7,5
2100,3,4
2200,2,5
2300,3,6
2400,3,14
2500,5,10
2600,7,8
2700,9,14
2800,8,11
2900,9,9
3000,5,11
3100,5,11
3200,9,13
3300,6,13
3400,6,15
3500,6,12
3600,7,14
3700,10,15
3800,9,15
3900,9,21
4000,13,15
4100,10,20
4200,12,21
4300,12,17
4400,11,24
4500,16,22
4600,12,23
4700,16,25
4800,14,23
4900,13,26
5000,17,30
5100,17,26
5200,15,33
5300,19,30
5400,23,33
5500,24,35
5600,21,32
5700,21,35
5800,24,36
5900,21,40
6000,21,39
6100,26,38
6200,22,42
6300,24,45
6400,25,45
6500,25,53
6600,29,49
6700,25,53
6800,28,51
6900,27,48
7000,27,53
7100,32,51
7200,35,52
7300,36,66
7400,34,59
7500,34,60
7600,37,65
7700,40,61
7800,38,62
7900,37,63
8000,40,66
8100,43,70
8200,43,71
8300,48,79
8400,44,70
8500,54,82
8600,51,91
8700,46,99
8800,83,93
8900,55,87
9000,55,85
9100,57,99
9200,52,100
9300,57,96
9400,66,97
9500,70,97
9600,66,104
9700,62,107
9800,76,104
9900,64,107
10000,65,116
10100,77,126
10200,72,112
10300,68,132
10400,72,118
10500,74,128
10600,74,127
10700,78,143
10800,77,129
10900,73,139
11000,90,160
11100,81,145
11200,86,137
11300,85,143
11400,97,151
11500,88,163
11600,89,152
11700,106,147
11800,100,151
11900,94,146
12000,94,167
12100,110,174
12200,102,163
12300,96,176
12400,110,169
12500,99,176
12600,119,187
12700,105,183
12800,119,173
12900,111,183
13000,112,197
13100,113,200
13200,117,191
13300,116,201
13400,129,221
13500,118,191
13600,128,223
13700,128,207
13800,123,202
13900,129,217
14000,138,221
14100,137,219
14200,145,226
14300,144,224
14400,135,224
14500,137,233
14600,138,273
14700,151,269
14800,146,246
14900,187,253
15000,163,252
15100,157,273
15200,160,272
15300,158,276
15400,160,281
15500,173,316
15600,165,275
15700,196,268
15800,173,285
15900,185,303
16000,170,298
16100,166,301
16200,173,298
16300,188,314
16400,196,315
16500,212,304
16600,190,330
16700,188,325
16800,201,323
16900,187,336
17000,273,323
17100,209,353
17200,221,355
17300,209,388
17400,207,352
17500,203,379
17600,218,366
17700,232,389
17800,216,364
17900,220,392
18000,212,374
18100,217,340
18200,222,350
18300,229,339
18400,233,343
18500,293,355
18600,230,350
18700,247,343
18800,241,326
18900,248,340
19000,271,373
19100,230,371
19200,251,358
19300,278,391
19400,273,464
19500,256,415
19600,282,532
19700,283,428
19800,291,472
19900,274,431
