InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,1,0,0
1100,0,0,0
1200,0,0,0
1300,1,0,0
1400,1,0,0
1500,0,0,0
1600,1,0,0
1700,1,0,0
1800,1,0,0
1900,1,0,0
2000,1,0,0
2100,2,0,0
2200,2,0,0
2300,2,0,0
2400,2,0,0
2500,2,0,0
2600,3,0,0
2700,3,0,0
2800,3,0,0
2900,4,0,0
3000,4,0,0
3100,4,0,0
3200,4,0,0
3300,5,0,0
3400,5,0,0
3500,5,0,0
3600,6,0,0
3700,6,0,0
3800,6,0,0
3900,6,0,0
4000,7,0,0
4100,7,0,0
4200,7,0,0
4300,8,0,0
4400,8,0,0
4500,8,0,0
4600,9,0,0
4700,10,0,0
4800,10,0,0
4900,10,0,0
5000,10,0,0
5100,11,0,0
5200,12,0,0
5300,13,0,0
5400,13,0,0
5500,13,0,0
5600,13,0,0
5700,14,0,0
5800,14,0,0
5900,14,0,0
6000,16,0,0
6100,16,0,0
6200,18,0,0
6300,16,0,0
6400,18,0,0
6500,18,0,0
6600,18,0,0
6700,19,0,0
6800,20,0,0
6900,19,0,0
7000,22,0,0
7100,21,0,0
7200,22,0,0
7300,24,0,0
7400,23,0,0
7500,24,0,0
7600,24,0,0
7700,24,0,0
7800,27,0,0
7900,27,0,0
8000,27,0,0
8100,29,0,0
8200,29,0,0
8300,30,0,0
8400,29,0,0
8500,32,0,0
8600,30,0,0
8700,31,0,0
8800,33,0,0
8900,34,0,0
9000,33,0,0
9100,37,0,0
9200,37,0,0
9300,36,0,0
9400,38,0,0
9500,38,0,0
9600,41,0,0
9700,42,0,0
9800,42,0,0
9900,43,0,0
10000,46,0,0
10100,44,0,0
10200,45,0,0
10300,47,0,0
10400,49,0,0
10500,49,0,0
10600,50,0,0
10700,49,0,0
10800,50,0,0
10900,51,0,0
11000,55,0,0
11100,55,0,0
11200,56,0,0
11300,55,0,0
11400,59,0,0
11500,59,0,0
11600,59,0,0
11700,62,0,0
11800,62,0,0
11900,63,0,0
12000,63,0,0
12100,68,0,0
12200,67,0,0
12300,67,0,0
12400,68,0,0
12500,68,0,0
12600,70,0,0
12700,69,0,0
12800,72,0,0
12900,74,0,0
13000,75,0,0
13100,79,0,0
13200,78,0,0
13300,80,0,0
13400,82,0,0
13500,82,0,0
13600,85,0,0
13700,86,0,0
13800,85,0,0
13900,92,0,0
14000,87,0,0
14100,91,0,0
14200,94,0,0
14300,99,0,0
14400,95,0,0
14500,97,0,0
14600,96,0,0
14700,101,0,0
14800,97,0,0
14900,98,0,0
15000,100,0,0
15100,102,0,0
15200,104,0,0
15300,106,0,0
15400,107,0,0
15500,108,0,0
15600,108,0,0
15700,112,0,0
15800,112,0,0
15900,114,0,0
16000,114,0,0
16100,119,0,0
16200,125,0,0
16300,121,0,0
16400,122,0,0
16500,121,0,0
16600,125,0,0
16700,126,0,0
16800,128,0,0
16900,133,0,0
17000,134,0,0
17100,137,0,0
17200,137,0,0
17300,136,0,0
17400,146,0,0
17500,141,0,0
17600,155,0,0
17700,144,0,0
17800,144,0,0
17900,147,0,0
18000,146,0,0
18100,151,0,0
18200,154,0,0
18300,154,0,0
18400,166,0,0
18500,154,0,0
18600,159,0,0
18700,160,0,0
18800,164,0,0
18900,165,0,0
19000,167,0,0
19100,168,0,0
19200,169,0,0
19300,168,0,0
19400,172,0,0
19500,173,0,0
19600,175,0,0
19700,181,0,0
19800,190,0,0
19900,181,0,0
