InputIndices,TestResults
0,0
100,0
200,1
300,0
400,1
500,1
600,1
700,2
800,1
900,1
1000,1
1100,2
1200,2
1300,2
1400,3
1500,3
1600,3
1700,3
1800,3
1900,3
2000,4
2100,4
2200,4
2300,4
2400,4
2500,8
2600,5
2700,5
2800,6
2900,5
3000,5
3100,6
3200,7
3300,7
3400,7
3500,6
3600,6
3700,6
3800,7
3900,7
4000,7
4100,8
4200,7
4300,7
4400,8
4500,8
4600,8
4700,8
4800,8
4900,8
5000,9
5100,9
5200,10
5300,10
5400,10
5500,9
5600,9
5700,10
5800,12
5900,10
6000,10
6100,11
6200,11
6300,12
6400,11
6500,12
6600,11
6700,12
6800,12
6900,13
7000,14
7100,14
7200,16
7300,13
7400,15
7500,14
7600,14
7700,14
7800,17
7900,16
8000,18
8100,15
8200,15
8300,15
8400,19
8500,15
8600,20
8700,16
8800,20
8900,19
9000,19
9100,16
9200,17
9300,19
9400,17
9500,19
9600,17
9700,19
9800,18
9900,18
10000,31
10100,23
10200,20
10300,20
10400,19
10500,20
10600,22
10700,18
10800,20
10900,19
11000,18
11100,18
11200,19
11300,19
11400,17
11500,17
11600,17
11700,18
11800,17
11900,16
12000,18
12100,15
12200,17
12300,15
12400,17
12500,16
12600,16
12700,13
12800,14
12900,16
13000,14
13100,14
13200,14
13300,13
13400,13
13500,13
13600,17
13700,14
13800,12
13900,14
14000,12
14100,12
14200,12
14300,11
14400,11
14500,12
14600,11
14700,11
14800,11
14900,10
15000,9
15100,9
15200,8
15300,9
15400,8
15500,9
15600,8
15700,8
15800,9
15900,9
16000,7
16100,7
16200,7
16300,7
16400,7
16500,6
16600,6
16700,6
16800,5
16900,6
17000,6
17100,6
17200,5
17300,4
17400,5
17500,4
17600,5
17700,4
17800,5
17900,4
18000,4
18100,3
18200,3
18300,2
18400,3
18500,3
18600,2
18700,2
18800,2
18900,2
19000,2
19100,2
19200,1
19300,1
19400,1
19500,1
19600,0
19700,0
19800,0
19900,0
